date,note
2014-12-30,First commit
2016-04-28,Johan joined the project
2016-04-27,Started rewrite
2016-08-30,End of kickoff development
2017-01-04,Created Twitter account
2017-08-31,Forum launched
2017-11-21,Posted on r/python

# NOTE: These are manually written to note down significant events (that are not releases or otherwise already tracked)
#       Many of these taken from the old stats spreadsheet, and will overlap with:
#         https://github.com/ActivityWatch/contributor-stats/blob/master/video/gource-captions.txt
