date,tag
2016-07-28,v0.4.0
2016-08-18,v0.5.0
2016-08-19,v0.5.1
2017-06-14,v0.7.0b1
2017-08-09,v0.7.0b2
2017-08-25,v0.7.0b3
2017-10-22,v0.7.0b4
2017-11-06,v0.7.1
2018-05-07,v0.8.0b1
2018-05-28,v0.8.0b2
2018-05-30,v0.8.0b3
2018-07-03,v0.8.0b4
2018-07-09,v0.8.0b5
2018-08-27,v0.8.0b6
2018-11-03,v0.8.0b7
2019-03-09,v0.8.0b8
2019-07-03,v0.8.0b9
2019-11-12,v0.8.1
2019-11-13,v0.8.3
2019-11-13,v0.8.2
2019-12-10,v0.8.4
2020-03-15,v0.9.0
2020-03-21,v0.9.1
2020-03-23,v0.9.2
2020-11-24,v0.10.0
2021-06-15,v0.11.0b1
2021-06-16,v0.11.0
2022-03-03,v0.12.0b1
2022-05-15,v0.12.0b2
2022-07-14,v0.12.0b3
